page,price,location,alapterulet,szobak,erkely
5,450 000 Ft/hó,"Budapest XIII. kerület, Katona József utca",110 m2,3,2 m2
5,692 568 Ft/hó,"Budapest VIII. kerület, Corvin sétány 6.",73 m2,3,30 m2
5,490 000 Ft/hó,"Budapest VIII. kerület, Corvin sétány 2.",70 m2,3,11 m2
6,224 900 Ft/hó,"Budapest XIII. kerület, Gogol utca",33 m2,2,
6,692 568 Ft/hó,"Budapest VI. kerület, Jókai tér 8.",83 m2,4,
6,440 000 Ft/hó,"Budapest V. kerület, Régi posta utca",33 m2,1 + 1 fél,
6,220 000 Ft/hó,"Budapest XIII. kerület, Fáy utca 15.",30 m2,1,6 m2
6,330 000 Ft/hó,"Budapest XI. kerület, Rupphegyi út 5.",45 m2,2,10 m2
6,250 000 Ft/hó,"Budapest VIII. kerület, Kis Fuvaros utca",36 m2,1,4 m2
6,230 000 Ft/hó,"Budapest XIII. kerület, Csángó utca",43 m2,2,2 m2
6,399 000 Ft/hó,"Budapest XI. kerület, Beregszász út",72 m2,3,5 m2
6,439 000 Ft/hó,"Budapest XVII. kerület, Borsó utca",116 m2,4,128 m2
6,300 000 Ft/hó,"Budapest VI. kerület, Belső-Terézváros",56 m2,3,4 m2
6,210 000 Ft/hó,"Budapest XIII. kerület, Hegedűs Gyula utca",30 m2,1 + 1 fél,
6,230 000 Ft/hó,"Budapest XI. kerület, Regős utca",56 m2,1 + 2 fél,2 m2
6,518 000 Ft/hó,"Budapest XII. kerület, Széchenyihegy",95 m2,4,10 m2
6,640 000 Ft/hó,"Budapest II. kerület, Medve utca",141 m2,4 + 1 fél,13.6 m2
6,640 000 Ft/hó,"Budapest II. kerület, Medve utca",141 m2,4 + 1 fél,14 m2
6,1 000 376 Ft/hó,"Budapest VI. kerület, Király utca",85 m2,3,40 m2
6,230 000 Ft/hó,"Budapest XI. kerület, Regős utca",53 m2,1 + 2 fél,
6,961 900 Ft/hó,"Budapest VI. kerület, Király utca 40.",85 m2,3,20 m2
6,270 000 Ft/hó,"Budapest VII. kerület, Thököly út",60 m2,3,
6,270 000 Ft/hó,"Budapest IX. kerület, Tűzoltó utca",50 m2,2,2 m2
7,300 000 Ft/hó,"Budapest IX. kerület, Ferenc tér",44 m2,2,8 m2
7,290 000 Ft/hó,"Budapest XIII. kerület, Hollán Ernő utca",92 m2,2 + 1 fél,
7,225 000 Ft/hó,"Budapest XII. kerület, Kiss János altábornagy utca",37 m2,2,
7,230 000 Ft/hó,"Budapest IV. kerület, Szent László tér",36 m2,1 + 1 fél,
7,580 000 Ft/hó,"Budapest IX. kerület, Lechner Ödön fasor",90 m2,3 + 1 fél,8 m2
7,250 000 Ft/hó,"Budapest IX. kerület, Ráday utca",70 m2,2,
7,410 000 Ft/hó,"Budapest II. kerület, Felső Zöldmáli út",71 m2,3,50 m2
7,500 000 Ft/hó,"Budapest XII. kerület, Németvölgy",90 m2,2 + 2 fél,7.5 m2
7,220 000 Ft/hó,"Budapest IX. kerület, Dési Huber utca",54 m2,2,4 m2
7,280 000 Ft/hó,"Budapest IX. kerület, Thaly Kálmán utca",46 m2,2,5 m2
7,190 000 Ft/hó,"Budapest IX. kerület, Lenhossék utca 3.",32 m2,1,4 m2
7,380 000 Ft/hó,"Budapest VI. kerület, Anker köz",45 m2,2,6 m2
7,270 000 Ft/hó,"Budapest III. kerület, Pünkösdfürdő utca 42-46.",44 m2,2,4 m2
7,280 000 Ft/hó,"Budapest VII. kerület, Thököly út",60 m2,3,
7,240 000 Ft/hó,"Budapest XI. kerület, Regős utca",54 m2,2,4 m2
7,280 000 Ft/hó,"Budapest XI. kerület, Kelenföld",61 m2,1 + 1 fél,3 m2
7,270 000 Ft/hó,"Budapest XI. kerület, Szerenád utca",45 m2,2,16 m2
7,390 000 Ft/hó,"Budapest XIV. kerület, Borostyán utca",82 m2,3,3 m2
